"Date","Price","Open","High","Low","Vol.","Change %"
"18-02-2026","1,441.30","1,427.00","1,442.10","1,419.20","5.52M","1.29%"
"17-02-2026","1,423.00","1,431.10","1,431.80","1,418.60","10.73M","-0.98%"
"16-02-2026","1,437.10","1,420.10","1,439.60","1,409.30","5.90M","1.23%"
"13-02-2026","1,419.60","1,445.50","1,450.70","1,416.30","10.76M","-2.02%"
"12-02-2026","1,448.90","1,470.00","1,473.00","1,445.50","11.14M","-1.35%"
"11-02-2026","1,468.70","1,459.60","1,470.00","1,453.60","7.11M","0.70%"
"10-02-2026","1,458.50","1,471.00","1,471.00","1,452.20","10.26M","-0.21%"
"09-02-2026","1,461.60","1,458.00","1,465.90","1,453.00","5.78M","0.74%"
"06-02-2026","1,450.80","1,441.50","1,452.80","1,433.50","8.28M","0.51%"
"05-02-2026","1,443.40","1,457.00","1,461.50","1,439.50","11.76M","-0.92%"
"04-02-2026","1,456.80","1,444.00","1,464.00","1,440.30","8.33M","1.37%"
"03-02-2026","1,437.10","1,473.90","1,489.50","1,430.20","25.46M","3.36%"
"02-02-2026","1,390.40","1,340.00","1,392.90","1,335.50","15.71M","3.22%"
"01-02-2026","1,347.00","1,396.00","1,411.00","1,335.00","9.71M","-3.47%"
"30-01-2026","1,395.40","1,382.60","1,398.00","1,378.50","11.24M","0.32%"
"29-01-2026","1,391.00","1,402.90","1,402.90","1,384.00","20.85M","-0.41%"
"28-01-2026","1,396.70","1,385.00","1,409.90","1,384.90","11.12M","1.17%"
"27-01-2026","1,380.50","1,380.00","1,391.60","1,368.00","26.30M","-0.40%"
"23-01-2026","1,386.10","1,401.80","1,407.00","1,381.00","9.84M","-1.17%"
"22-01-2026","1,402.50","1,410.10","1,419.50","1,395.00","15.72M","-0.15%"
"21-01-2026","1,404.60","1,389.50","1,412.90","1,373.00","17.35M","0.76%"
"20-01-2026","1,394.00","1,410.70","1,416.00","1,390.00","13.19M","-1.39%"
"19-01-2026","1,413.60","1,450.60","1,450.60","1,403.30","20.39M","-3.04%"
"16-01-2026","1,457.90","1,458.80","1,480.00","1,455.10","17.17M","-0.06%"
"14-01-2026","1,458.80","1,444.00","1,467.00","1,440.20","8.32M","0.41%"
"13-01-2026","1,452.80","1,485.00","1,485.80","1,444.70","13.50M","-2.05%"
"12-01-2026","1,483.20","1,475.30","1,485.30","1,451.00","8.88M","0.54%"
"09-01-2026","1,475.30","1,465.00","1,479.90","1,465.00","8.34M","0.32%"
"08-01-2026","1,470.60","1,500.00","1,503.90","1,468.80","16.52M","-2.23%"
"07-01-2026","1,504.20","1,510.00","1,520.00","1,498.00","11.20M","-0.23%"
"06-01-2026","1,507.60","1,569.00","1,569.00","1,496.30","27.42M","-4.47%"
"05-01-2026","1,578.10","1,593.00","1,611.80","1,575.30","8.70M","-0.89%"
"02-01-2026","1,592.30","1,580.00","1,594.60","1,578.20","6.60M","1.06%"
"01-01-2026","1,575.60","1,573.70","1,592.50","1,571.10","6.41M","0.33%"
"31-12-2025","1,570.40","1,541.00","1,577.00","1,541.00","5.77M","1.99%"
"30-12-2025","1,539.80","1,547.00","1,553.60","1,537.80","8.82M","-0.38%"
"29-12-2025","1,545.60","1,554.90","1,558.10","1,543.60","5.97M","-0.87%"
"26-12-2025","1,559.20","1,554.70","1,561.00","1,554.30","2.31M","0.06%"
"24-12-2025","1,558.20","1,572.70","1,575.70","1,553.60","8.82M","-0.80%"
"23-12-2025","1,570.70","1,580.90","1,580.90","1,568.10","7.51M","-0.30%"
"22-12-2025","1,575.40","1,573.50","1,577.50","1,565.30","10.18M","0.66%"
"19-12-2025","1,565.10","1,554.40","1,574.20","1,551.00","13.94M","1.34%"
"18-12-2025","1,544.40","1,535.20","1,551.50","1,535.20","6.58M","0.00%"
"17-12-2025","1,544.40","1,550.00","1,550.00","1,539.30","7.12M","0.14%"
"16-12-2025","1,542.30","1,545.00","1,551.70","1,538.80","11.73M","-0.89%"
"15-12-2025","1,556.20","1,551.20","1,558.60","1,546.50","5.77M","-0.02%"
"12-12-2025","1,556.50","1,550.80","1,559.80","1,546.10","5.11M","0.74%"
"11-12-2025","1,545.00","1,536.90","1,550.00","1,524.00","4.71M","0.53%"
"10-12-2025","1,536.90","1,534.00","1,547.50","1,531.40","7.99M","0.49%"
"09-12-2025","1,529.40","1,540.30","1,542.50","1,520.10","11.50M","-0.88%"
"08-12-2025","1,543.00","1,539.20","1,551.00","1,535.00","11.30M","0.16%"
"05-12-2025","1,540.60","1,530.40","1,545.80","1,520.60","10.18M","0.33%"
"04-12-2025","1,535.60","1,536.00","1,560.50","1,517.60","11.87M","-0.21%"
"03-12-2025","1,538.80","1,545.20","1,552.40","1,533.00","6.09M","-0.49%"
"02-12-2025","1,546.30","1,561.10","1,567.50","1,542.00","11.39M","-1.26%"
"01-12-2025","1,566.10","1,575.00","1,577.50","1,563.60","8.92M","-0.09%"
"28-11-2025","1,567.50","1,568.00","1,581.30","1,563.00","8.96M","0.26%"
"27-11-2025","1,563.40","1,575.00","1,575.50","1,556.00","9.79M","-0.41%"
