Date,Price,Open,High,Low,Vol.,Change %,Target
2015-01-19,197.77,195.65,199.2,193.08,12310000.0,1.14,1
2015-01-20,203.04,198.19,203.6,197.59,12330000.0,2.66,1
2015-01-21,203.87,203.47,204.91,200.56,15770000.0,0.41,0
2015-01-22,198.7,203.51,203.97,197.74,21900000.0,-2.54,1
2015-01-23,199.4,200.1,201.86,197.18,16690000.000000002,0.35,1
2015-01-27,199.89,200.75,201.61,197.97,16559999.999999998,0.25,1
2015-01-28,203.89,199.23,204.55,199.23,17810000.0,2.0,1
2015-01-29,208.96,203.95,210.11,203.9,33340000.000000004,2.49,0
2015-01-30,205.78,209.1,209.38,204.37,20070000.0,-1.52,0
2015-02-02,204.16,205.96,206.82,203.63,17820000.0,-0.79,1
2015-02-03,210.8,205.32,211.53,205.32,15780000.0,3.25,0
2015-02-04,208.83,211.14,212.2,208.17,12990000.0,-0.93,0
2015-02-05,207.68,210.44,211.32,206.31,11410000.0,-0.55,0
2015-02-06,204.58,207.77,209.1,203.02,8350000.0,-1.49,0
2015-02-09,201.61,202.62,206.4,200.55,8160000.0,-1.45,0
2015-02-10,198.3,201.9,203.36,193.65,12600000.0,-1.64,1
2015-02-11,202.51,199.2,203.42,198.53,9030000.0,2.12,1
2015-02-12,204.41,204.15,205.49,199.48,8039999.999999999,0.94,1
2015-02-13,206.28,205.5,207.03,204.38,6820000.0,0.91,0
2015-02-16,202.98,206.55,207.79,202.35,11320000.0,-1.6,0
2015-02-18,202.72,202.35,204.15,201.09,9080000.0,-0.13,1
2015-02-19,202.81,203.91,204.06,199.55,8820000.0,0.04,0
2015-02-20,196.3,201.28,201.45,195.9,17280000.0,-3.21,0
2015-02-23,191.43,195.59,197.12,190.46,13020000.0,-2.48,0
2015-02-24,189.19,192.06,192.64,188.19,18410000.0,-1.17,1
2015-02-25,189.57,190.84,192.57,189.1,14100000.0,0.2,0
2015-02-26,189.31,190.23,191.11,188.1,19810000.0,-0.14,1
2015-02-27,192.36,190.56,193.58,189.89,17220000.0,1.61,1
2015-02-28,194.51,193.99,195.25,190.34,8450000.0,1.12,0
2015-03-02,194.31,195.38,196.84,192.36,13460000.0,-0.1,1
2015-03-03,202.53,195.38,203.8,195.02,19050000.0,4.23,0
2015-03-04,199.62,203.7,204.52,197.86,13360000.0,-1.44,0
2015-03-05,198.97,200.66,202.07,197.44,9890000.0,-0.33,0
2015-03-09,195.53,199.0,200.5,194.29,12980000.0,-1.73,0
2015-03-10,193.17,195.37,196.91,192.32,14060000.0,-1.21,0
2015-03-11,192.45,193.57,195.52,191.65,10740000.0,-0.37,1
2015-03-12,194.21,192.91,195.02,192.37,10880000.0,0.91,0
2015-03-13,191.13,195.38,195.52,190.43,11940000.0,-1.59,0
2015-03-16,189.33,191.45,192.0,188.93,12770000.0,-0.94,1
2015-03-17,192.65,191.23,193.33,189.09,17600000.0,1.75,1
2015-03-18,195.3,192.68,196.11,192.17,8560000.0,1.38,0
2015-03-19,192.49,196.85,197.11,192.03,12860000.0,-1.44,0
2015-03-20,192.03,192.88,193.62,190.79,9600000.0,-0.24,0
2015-03-23,189.3,192.57,194.26,188.43,12230000.0,-1.42,1
2015-03-24,190.65,189.33,192.08,189.33,8530000.0,0.71,0
2015-03-25,189.96,190.88,191.0,189.09,9470000.0,-0.36,0
2015-03-26,186.45,189.11,190.94,185.29,19030000.0,-1.85,0
2015-03-27,182.5,187.49,187.74,180.19,21530000.0,-2.12,0
2015-03-30,182.28,183.6,183.85,179.07,16000000.0,-0.12,1
2015-03-31,185.71,183.91,187.26,183.91,18680000.0,1.88,1
2015-04-01,187.97,185.47,188.64,182.81,13470000.0,1.22,0
2015-04-06,185.41,187.96,188.41,184.68,11380000.0,-1.36,1
2015-04-07,187.25,185.72,187.98,185.72,19640000.0,0.99,1
2015-04-08,194.68,187.4,195.49,187.26,22910000.0,3.97,1
2015-04-09,201.25,194.59,202.13,193.09,25180000.0,3.37,1
2015-04-10,203.33,201.21,204.33,199.9,23370000.0,1.03,1
2015-04-13,207.41,203.88,207.91,202.07,18620000.0,2.01,1
2015-04-15,207.67,207.07,211.25,203.97,20520000.0,0.13,1
2015-04-16,208.72,207.86,210.89,206.62,18620000.0,0.51,0
2015-04-17,208.39,210.23,212.31,207.43,22110000.0,-0.16,0
2015-04-20,199.12,210.74,210.77,197.52,34730000.0,-4.45,0
2015-04-21,197.06,200.14,201.34,196.16,16340000.0,-1.03,1
2015-04-22,197.8,198.28,199.37,194.93,13620000.0,0.38,0
2015-04-23,197.19,198.72,199.97,195.39,12310000.0,-0.31,1
2015-04-24,197.61,197.18,198.85,195.3,11730000.0,0.21,0
2015-04-27,196.8,197.86,199.54,195.93,10190000.0,-0.41,0
2015-04-28,194.53,196.66,198.3,193.03,13560000.0,-1.15,0
2015-04-29,191.11,193.81,195.73,190.52,15130000.0,-1.76,1
2015-04-30,193.89,191.11,194.68,190.65,32119999.999999996,1.45,1
2015-05-04,200.32,194.75,200.98,193.47,13920000.0,3.32,1
2015-05-05,200.59,200.93,202.75,199.0,16469999.999999998,0.13,0
2015-05-06,197.91,200.1,201.62,196.05,20710000.0,-1.34,0
2015-05-07,195.77,196.73,197.51,193.36,15450000.0,-1.08,1
2015-05-08,200.03,195.83,200.94,193.6,15790000.0,2.18,1
2015-05-11,201.44,200.74,202.23,198.62,13120000.0,0.7,0
2015-05-12,195.31,201.2,201.2,194.51,15370000.0,-3.04,1
2015-05-13,199.0,196.36,199.8,192.73,15420000.0,1.89,0
2015-05-14,197.45,199.2,199.25,195.67,11380000.0,-0.78,0
2015-05-15,196.49,198.28,199.42,195.63,7690000.0,-0.49,1
2015-05-18,200.45,196.71,201.0,196.1,9090000.0,2.02,1
2015-05-19,201.35,200.38,203.42,199.34,13400000.0,0.45,1
2015-05-20,204.34,202.44,204.82,201.83,8039999.999999999,1.48,0
2015-05-21,201.62,204.88,205.81,201.02,9930000.0,-1.33,1
2015-05-22,203.22,201.68,203.61,201.68,7710000.0,0.79,0
2015-05-25,201.11,202.35,204.15,200.63,6110000.0,-1.04,0
2015-05-26,198.89,201.23,201.45,198.46,8780000.0,-1.1,1
2015-05-27,199.05,199.2,200.3,197.9,7460000.0,0.08,0
2015-05-28,196.91,199.17,201.06,196.05,24500000.0,-1.08,1
2015-05-29,197.18,197.83,199.3,196.3,27020000.0,0.14,1
2015-06-01,202.86,197.85,203.45,197.4,18090000.0,2.88,0
2015-06-02,202.05,203.64,206.58,200.43,18630000.0,-0.4,0
2015-06-03,201.53,202.13,204.7,199.76,14350000.0,-0.26,1
2015-06-04,205.21,203.29,205.99,200.68,14700000.0,1.83,0
2015-06-05,204.09,204.58,206.16,203.35,12060000.0,-0.55,0
2015-06-08,199.08,203.88,204.6,198.55,10010000.0,-2.45,0
2015-06-09,198.69,198.65,200.25,197.26,8450000.0,-0.2,1
2015-06-10,203.65,199.2,204.58,198.98,12470000.0,2.5,0
2015-06-11,197.21,203.7,204.49,196.43,13550000.0,-3.16,1
2015-06-12,200.07,197.63,200.71,197.46,19880000.0,1.45,1
2015-06-15,202.74,201.2,203.47,200.1,11870000.0,1.33,1
2015-06-16,203.24,202.13,203.47,200.82,12860000.0,0.25,1
2015-06-17,209.37,203.49,211.87,201.0,24210000.0,3.02,1
2015-06-18,220.1,209.67,220.79,209.66,45570000.0,5.12,1
2015-06-19,224.08,220.9,226.27,220.9,42190000.0,1.81,0
2015-06-22,222.97,224.15,226.79,221.8,17900000.0,-0.5,1
2015-06-23,223.71,223.18,225.44,222.81,14770000.0,0.33,0
2015-06-24,222.79,223.71,226.28,221.83,17170000.0,-0.41,1
2015-06-25,225.86,221.91,226.86,221.46,25080000.0,1.38,0
2015-06-26,224.99,224.81,228.0,223.8,19350000.0,-0.39,0
2015-06-29,222.78,222.11,223.45,218.54,18620000.0,-0.98,1
2015-06-30,224.86,222.56,225.47,222.14,21400000.0,0.93,1
2015-07-01,226.1,225.06,227.18,225.06,13680000.0,0.55,1
2015-07-02,227.27,226.86,229.27,226.43,14700000.0,0.52,0
2015-07-03,226.45,227.03,227.94,225.52,12770000.0,-0.36,1
2015-07-06,228.33,223.96,229.08,223.75,11300000.0,0.83,0
2015-07-07,225.56,227.31,228.57,224.83,10430000.0,-1.21,0
2015-07-08,224.07,223.9,226.79,222.96,14020000.0,-0.66,0
2015-07-09,222.0,223.93,225.06,221.05,14990000.0,-0.92,1
2015-07-10,225.24,222.83,225.73,222.64,14870000.0,1.46,1
2015-07-13,226.41,225.24,227.64,223.74,9100000.0,0.52,0
2015-07-14,224.34,226.83,227.42,223.75,9180000.0,-0.91,1
2015-07-15,227.34,224.78,228.07,224.73,12490000.0,1.34,1
2015-07-16,230.16,227.53,231.08,227.34,13710000.0,1.24,0
2015-07-17,229.71,230.51,231.84,228.88,9410000.0,-0.2,1
2015-07-20,230.4,231.08,231.57,228.86,5860000.0,0.3,0
2015-07-21,226.59,231.13,231.23,225.45,7310000.0,-1.65,1
2015-07-22,236.17,225.96,236.96,225.87,15980000.0,4.23,0
2015-07-23,235.02,236.86,240.09,234.1,17210000.0,-0.49,0
2015-07-24,230.47,235.63,236.0,229.58,12090000.0,-1.94,0
2015-07-27,226.04,230.43,231.56,225.23,18570000.0,-1.92,1
2015-07-28,227.14,226.7,228.59,224.86,12350000.0,0.49,0
2015-07-29,223.93,226.97,227.69,223.06,13650000.0,-1.41,1
2015-07-30,224.87,224.86,226.63,223.1,10800000.0,0.42,1
2015-07-31,225.25,224.83,226.61,222.59,15350000.0,0.17,1
2015-08-03,225.38,225.06,227.95,224.7,9130000.0,0.06,0
2015-08-04,222.14,225.6,226.1,220.34,11080000.0,-1.44,0
2015-08-05,222.08,222.19,225.01,221.26,13240000.0,-0.03,0
2015-08-06,220.1,222.81,223.03,219.77,8039999.999999999,-0.89,1
2015-08-07,221.31,220.11,223.48,219.7,7950000.0,0.55,0
2015-08-10,217.84,221.35,222.32,216.85,8570000.0,-1.57,0
2015-08-11,217.19,218.31,218.91,215.39,8090000.0,-0.3,0
2015-08-12,212.0,216.65,217.19,211.47,8910000.0,-2.39,0
2015-08-13,209.85,212.92,214.48,208.96,8620000.0,-1.01,1
2015-08-14,217.4,211.4,218.54,210.06,11760000.0,3.6,0
2015-08-17,213.75,217.19,217.19,212.7,10020000.0,-1.68,0
2015-08-18,212.27,214.94,214.94,211.84,6120000.0,-0.69,1
2015-08-19,214.63,212.24,216.07,211.22,8189999.999999999,1.11,0
2015-08-20,206.01,215.83,215.83,205.44,17540000.0,-4.02,0
2015-08-21,204.14,204.6,205.03,201.68,18510000.0,-0.91,0
2015-08-24,186.51,197.85,197.85,183.91,32890000.0,-8.64,1
2015-08-25,190.69,189.05,193.5,185.08,45690000.0,2.24,1
2015-08-26,191.87,190.61,196.68,188.86,17500000.0,0.62,1
2015-08-27,195.41,194.89,198.13,192.69,24920000.0,1.85,1
2015-08-28,196.14,196.73,198.53,194.73,9940000.0,0.37,0
2015-08-31,192.44,196.25,196.25,191.96,19110000.0,-1.89,0
2015-09-01,188.83,191.99,191.99,187.76,19980000.0,-1.88,1
2015-09-02,191.01,191.11,192.7,189.44,18140000.0,1.15,1
2015-09-03,191.97,192.02,193.53,189.85,10760000.0,0.5,0
2015-09-04,187.94,191.04,191.04,185.51,14950000.0,-2.1,0
2015-09-07,187.33,188.47,189.76,186.09,9450000.0,-0.32,1
2015-09-08,190.79,187.96,191.77,185.51,11910000.0,1.85,1
2015-09-09,196.52,193.58,197.56,191.22,16010000.000000002,3.0,0
2015-09-10,194.93,193.58,195.72,192.35,10220000.0,-0.81,0
2015-09-11,193.57,196.05,196.98,192.5,9820000.0,-0.7,1
2015-09-14,194.22,193.75,194.64,191.54,7350000.0,0.34,1
2015-09-15,195.19,193.81,195.61,192.37,10620000.0,0.5,1
2015-09-16,196.18,196.08,197.26,194.53,12390000.0,0.51,1
2015-09-18,201.32,197.51,202.24,197.21,31620000.0,2.62,0
2015-09-21,197.43,197.85,199.7,196.97,11750000.0,-1.93,0
2015-09-22,190.64,197.85,198.96,189.87,14530000.0,-3.44,1
2015-09-23,191.19,189.53,192.64,188.86,14050000.0,0.29,0
2015-09-24,188.26,190.66,190.66,187.68,26840000.0,-1.53,0
2015-09-28,187.57,188.82,189.06,186.32,10730000.0,-0.37,1
2015-09-29,189.03,186.61,191.16,185.73,14630000.0,0.78,1
2015-09-30,193.87,191.33,194.44,188.52,15960000.0,2.56,1
2015-10-01,194.41,196.49,196.49,193.04,8000000.0,0.28,1
2015-10-05,199.65,193.99,200.1,193.77,14780000.0,2.7,1
2015-10-06,201.91,201.37,202.46,199.15,11380000.0,1.13,1
2015-10-07,205.45,201.16,206.41,200.33,10630000.0,1.75,0
2015-10-08,199.9,205.7,205.7,199.26,9930000.0,-2.7,0
2015-10-09,199.51,201.01,203.58,198.19,8610000.0,-0.2,1
2015-10-12,200.5,199.65,202.71,199.65,5730000.0,0.5,1
2015-10-13,200.91,198.99,201.52,198.51,5690000.0,0.2,1
2015-10-14,203.01,201.41,203.47,200.99,7390000.0,1.05,1
2015-10-15,203.18,204.08,204.82,202.37,8350000.0,0.08,1
2015-10-16,205.08,203.36,205.68,203.18,14070000.0,0.94,1
2015-10-19,216.63,211.57,217.08,211.57,30930000.0,5.63,0
2015-10-20,215.1,216.96,217.35,214.27,16700000.0,-0.71,0
2015-10-21,214.72,214.83,219.17,214.27,13300000.0,-0.18,1
2015-10-23,214.86,216.73,218.77,211.6,11220000.0,0.07,0
2015-10-26,211.98,216.27,216.51,211.64,10100000.0,-1.34,0
2015-10-27,211.24,211.07,213.2,210.76,10710000.0,-0.35,0
2015-10-28,210.66,210.65,212.45,209.07,11040000.0,-0.27,1
2015-10-29,211.57,210.44,212.47,210.21,12260000.0,0.43,1
2015-10-30,213.07,211.82,214.92,211.37,12340000.0,0.71,1
2015-11-02,215.8,213.37,216.18,212.51,6670000.0,1.28,1
2015-11-03,217.46,216.57,218.19,216.12,10500000.0,0.77,0
2015-11-04,213.88,217.64,219.21,212.74,9260000.0,-1.65,0
2015-11-05,210.58,213.37,213.82,209.77,9940000.0,-1.54,1
2015-11-06,214.13,211.22,214.66,210.87,7720000.0,1.69,1
2015-11-09,216.12,209.88,216.96,207.62,15720000.0,0.93,0
2015-11-10,207.47,215.17,215.73,206.01,10600000.0,-4.0,1
2015-11-11,208.75,208.44,209.74,208.44,1210000.0,0.62,1
2015-11-13,209.78,205.73,211.02,205.61,12630000.0,0.49,1
2015-11-16,210.06,208.2,211.79,207.91,14160000.0,0.13,0
2015-11-17,208.59,210.91,211.1,208.24,7930000.0,-0.7,0
2015-11-18,205.05,208.56,209.39,204.59,10380000.0,-1.7,1
2015-11-19,210.16,206.6,211.05,206.23,11250000.0,2.49,1
2015-11-20,212.88,209.99,214.22,208.09,10430000.0,1.29,1
2015-11-23,214.43,213.59,215.37,212.74,9690000.0,0.73,1
2015-11-24,217.57,214.27,218.45,213.83,13670000.0,1.46,1
2015-11-26,222.28,218.31,223.02,217.7,21970000.0,2.16,0
2015-11-27,220.12,222.36,223.15,219.01,10050000.0,-0.97,0
2015-11-30,217.16,220.0,221.33,216.36,27620000.0,-1.34,1
2015-12-01,217.17,216.74,220.07,216.12,11980000.0,0.0,1
2015-12-02,219.88,217.25,220.27,216.85,6990000.0,1.25,0
2015-12-03,219.71,219.19,222.35,219.01,10490000.0,-0.08,0
2015-12-04,217.07,218.61,219.48,216.15,12410000.0,-1.2,0
2015-12-07,214.05,217.07,218.76,213.54,13370000.0,-1.39,0
2015-12-08,211.55,213.34,214.4,210.47,6950000.0,-1.17,0
2015-12-09,205.93,210.49,212.12,205.24,8470000.0,-2.66,1
