Price,Open,High,Low,Vol.,Change %,Target
197.77,195.65,199.2,193.08,12310000.0,1.14,1
203.04,198.19,203.6,197.59,12330000.0,2.66,1
203.87,203.47,204.91,200.56,15770000.0,0.41,0
198.7,203.51,203.97,197.74,21900000.0,-2.54,1
199.4,200.1,201.86,197.18,16690000.000000002,0.35,1
199.89,200.75,201.61,197.97,16559999.999999998,0.25,1
203.89,199.23,204.55,199.23,17810000.0,2.0,1
208.96,203.95,210.11,203.9,33340000.000000004,2.49,0
205.78,209.1,209.38,204.37,20070000.0,-1.52,0
204.16,205.96,206.82,203.63,17820000.0,-0.79,1
210.8,205.32,211.53,205.32,15780000.0,3.25,0
208.83,211.14,212.2,208.17,12990000.0,-0.93,0
207.68,210.44,211.32,206.31,11410000.0,-0.55,0
204.58,207.77,209.1,203.02,8350000.0,-1.49,0
201.61,202.62,206.4,200.55,8160000.0,-1.45,0
198.3,201.9,203.36,193.65,12600000.0,-1.64,1
202.51,199.2,203.42,198.53,9030000.0,2.12,1
204.41,204.15,205.49,199.48,8039999.999999999,0.94,1
206.28,205.5,207.03,204.38,6820000.0,0.91,0
202.98,206.55,207.79,202.35,11320000.0,-1.6,0
202.72,202.35,204.15,201.09,9080000.0,-0.13,1
202.81,203.91,204.06,199.55,8820000.0,0.04,0
196.3,201.28,201.45,195.9,17280000.0,-3.21,0
191.43,195.59,197.12,190.46,13020000.0,-2.48,0
189.19,192.06,192.64,188.19,18410000.0,-1.17,1
189.57,190.84,192.57,189.1,14100000.0,0.2,0
189.31,190.23,191.11,188.1,19810000.0,-0.14,1
192.36,190.56,193.58,189.89,17220000.0,1.61,1
194.51,193.99,195.25,190.34,8450000.0,1.12,0
194.31,195.38,196.84,192.36,13460000.0,-0.1,1
202.53,195.38,203.8,195.02,19050000.0,4.23,0
199.62,203.7,204.52,197.86,13360000.0,-1.44,0
198.97,200.66,202.07,197.44,9890000.0,-0.33,0
195.53,199.0,200.5,194.29,12980000.0,-1.73,0
193.17,195.37,196.91,192.32,14060000.0,-1.21,0
192.45,193.57,195.52,191.65,10740000.0,-0.37,1
194.21,192.91,195.02,192.37,10880000.0,0.91,0
191.13,195.38,195.52,190.43,11940000.0,-1.59,0
189.33,191.45,192.0,188.93,12770000.0,-0.94,1
192.65,191.23,193.33,189.09,17600000.0,1.75,1
195.3,192.68,196.11,192.17,8560000.0,1.38,0
192.49,196.85,197.11,192.03,12860000.0,-1.44,0
192.03,192.88,193.62,190.79,9600000.0,-0.24,0
189.3,192.57,194.26,188.43,12230000.0,-1.42,1
190.65,189.33,192.08,189.33,8530000.0,0.71,0
189.96,190.88,191.0,189.09,9470000.0,-0.36,0
186.45,189.11,190.94,185.29,19030000.0,-1.85,0
182.5,187.49,187.74,180.19,21530000.0,-2.12,0
182.28,183.6,183.85,179.07,16000000.0,-0.12,1
185.71,183.91,187.26,183.91,18680000.0,1.88,1
187.97,185.47,188.64,182.81,13470000.0,1.22,0
185.41,187.96,188.41,184.68,11380000.0,-1.36,1
187.25,185.72,187.98,185.72,19640000.0,0.99,1
194.68,187.4,195.49,187.26,22910000.0,3.97,1
201.25,194.59,202.13,193.09,25180000.0,3.37,1
203.33,201.21,204.33,199.9,23370000.0,1.03,1
207.41,203.88,207.91,202.07,18620000.0,2.01,1
207.67,207.07,211.25,203.97,20520000.0,0.13,1
208.72,207.86,210.89,206.62,18620000.0,0.51,0
208.39,210.23,212.31,207.43,22110000.0,-0.16,0
199.12,210.74,210.77,197.52,34730000.0,-4.45,0
197.06,200.14,201.34,196.16,16340000.0,-1.03,1
197.8,198.28,199.37,194.93,13620000.0,0.38,0
197.19,198.72,199.97,195.39,12310000.0,-0.31,1
197.61,197.18,198.85,195.3,11730000.0,0.21,0
196.8,197.86,199.54,195.93,10190000.0,-0.41,0
194.53,196.66,198.3,193.03,13560000.0,-1.15,0
191.11,193.81,195.73,190.52,15130000.0,-1.76,1
193.89,191.11,194.68,190.65,32119999.999999996,1.45,1
200.32,194.75,200.98,193.47,13920000.0,3.32,1
200.59,200.93,202.75,199.0,16469999.999999998,0.13,0
197.91,200.1,201.62,196.05,20710000.0,-1.34,0
195.77,196.73,197.51,193.36,15450000.0,-1.08,1
200.03,195.83,200.94,193.6,15790000.0,2.18,1
201.44,200.74,202.23,198.62,13120000.0,0.7,0
195.31,201.2,201.2,194.51,15370000.0,-3.04,1
199.0,196.36,199.8,192.73,15420000.0,1.89,0
197.45,199.2,199.25,195.67,11380000.0,-0.78,0
196.49,198.28,199.42,195.63,7690000.0,-0.49,1
200.45,196.71,201.0,196.1,9090000.0,2.02,1
201.35,200.38,203.42,199.34,13400000.0,0.45,1
204.34,202.44,204.82,201.83,8039999.999999999,1.48,0
201.62,204.88,205.81,201.02,9930000.0,-1.33,1
203.22,201.68,203.61,201.68,7710000.0,0.79,0
201.11,202.35,204.15,200.63,6110000.0,-1.04,0
198.89,201.23,201.45,198.46,8780000.0,-1.1,1
199.05,199.2,200.3,197.9,7460000.0,0.08,0
196.91,199.17,201.06,196.05,24500000.0,-1.08,1
197.18,197.83,199.3,196.3,27020000.0,0.14,1
202.86,197.85,203.45,197.4,18090000.0,2.88,0
202.05,203.64,206.58,200.43,18630000.0,-0.4,0
201.53,202.13,204.7,199.76,14350000.0,-0.26,1
205.21,203.29,205.99,200.68,14700000.0,1.83,0
204.09,204.58,206.16,203.35,12060000.0,-0.55,0
199.08,203.88,204.6,198.55,10010000.0,-2.45,0
198.69,198.65,200.25,197.26,8450000.0,-0.2,1
203.65,199.2,204.58,198.98,12470000.0,2.5,0
197.21,203.7,204.49,196.43,13550000.0,-3.16,1
200.07,197.63,200.71,197.46,19880000.0,1.45,1
202.74,201.2,203.47,200.1,11870000.0,1.33,1
203.24,202.13,203.47,200.82,12860000.0,0.25,1
209.37,203.49,211.87,201.0,24210000.0,3.02,1
220.1,209.67,220.79,209.66,45570000.0,5.12,1
224.08,220.9,226.27,220.9,42190000.0,1.81,0
222.97,224.15,226.79,221.8,17900000.0,-0.5,1
223.71,223.18,225.44,222.81,14770000.0,0.33,0
222.79,223.71,226.28,221.83,17170000.0,-0.41,1
225.86,221.91,226.86,221.46,25080000.0,1.38,0
224.99,224.81,228.0,223.8,19350000.0,-0.39,0
222.78,222.11,223.45,218.54,18620000.0,-0.98,1
224.86,222.56,225.47,222.14,21400000.0,0.93,1
226.1,225.06,227.18,225.06,13680000.0,0.55,1
227.27,226.86,229.27,226.43,14700000.0,0.52,0
226.45,227.03,227.94,225.52,12770000.0,-0.36,1
228.33,223.96,229.08,223.75,11300000.0,0.83,0
225.56,227.31,228.57,224.83,10430000.0,-1.21,0
224.07,223.9,226.79,222.96,14020000.0,-0.66,0
222.0,223.93,225.06,221.05,14990000.0,-0.92,1
225.24,222.83,225.73,222.64,14870000.0,1.46,1
226.41,225.24,227.64,223.74,9100000.0,0.52,0
224.34,226.83,227.42,223.75,9180000.0,-0.91,1
227.34,224.78,228.07,224.73,12490000.0,1.34,1
230.16,227.53,231.08,227.34,13710000.0,1.24,0
229.71,230.51,231.84,228.88,9410000.0,-0.2,1
230.4,231.08,231.57,228.86,5860000.0,0.3,0
226.59,231.13,231.23,225.45,7310000.0,-1.65,1
236.17,225.96,236.96,225.87,15980000.0,4.23,0
235.02,236.86,240.09,234.1,17210000.0,-0.49,0
230.47,235.63,236.0,229.58,12090000.0,-1.94,0
226.04,230.43,231.56,225.23,18570000.0,-1.92,1
